# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec  5 09:31:27 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN st_spectype:    Spectral Type
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_w1mag:       W1 (WISE) Magnitude
# COLUMN sy_w2mag:       W2 (WISE) Magnitude
# COLUMN sy_w3mag:       W3 (WISE) Magnitude
# COLUMN sy_w4mag:       W4 (WISE) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_tmag:        TESS Magnitude
#
pl_name,pl_radj,pl_bmassj,pl_dens,pl_orbeccen,pl_eqt,pl_orbincl,st_spectype,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_tmag
HD 154672 b,1.140,5.37000,4.470000,0.610000,,,G3 IV,63.0484000,8.9050000,8.2100000,7.0130000,6.6990000,6.6120000,6.5610000,6.5820000,6.5740000,6.2690000,8.0373200,7.5864000
HD 154857 b,1.180,2.45000,1.820000,0.460000,,,G5 V,63.4482000,7.9050000,7.2400000,5.9380000,5.5880000,5.5090000,5.5030000,5.3850000,5.5050000,5.4520000,7.0483700,6.5859000
HD 154857 c,1.180,2.58000,1.960000,0.060000,,,G5 V,63.4482000,7.9050000,7.2400000,5.9380000,5.5880000,5.5090000,5.5030000,5.3850000,5.5050000,5.4520000,7.0483700,6.5859000
HD 155193 b,1.250,0.75000,0.477000,0.210000,,0.711,F8 IV,57.7995000,7.5370000,7.0092000,6.0100000,5.8010000,5.7150000,5.6560000,5.6320000,5.6980000,5.6830000,6.8668600,6.4965000
HD 155358 b,1.230,0.99000,0.658000,0.170000,,,G0,43.6197000,7.7940000,7.2800000,6.1580000,5.8860000,5.8080000,5.8790000,5.7260000,5.8340000,5.7790000,7.1207400,6.7281000
HD 155358 c,1.240,0.82000,0.534000,0.160000,,,G0,43.6197000,7.7940000,7.2800000,6.1580000,5.8860000,5.8080000,5.8790000,5.7260000,5.8340000,5.7790000,7.1207400,6.7281000
HD 155918 b,0.239,0.02400,2.200000,0.194000,,,G2V,27.5610000,7.5910000,7.0000000,5.8280000,5.5710000,5.4590000,,,,,6.8406000,6.4247000
HD 155918 c,1.140,5.90900,4.920000,0.071000,,31.771,G2V,27.5610000,7.5910000,7.0000000,5.8280000,5.5710000,5.4590000,,,,,6.8406000,6.4247000
HD 156098 b,0.368,0.05000,1.250000,0.109000,,,,48.2490000,6.0210000,5.5300000,4.7540000,4.5370000,4.3570000,4.2670000,4.0580000,4.3120000,4.2340000,5.4115900,5.0618000
HD 156098 c,1.140,5.22800,4.350000,0.391000,,23.462,,48.2490000,6.0210000,5.5300000,4.7540000,4.5370000,4.3570000,4.2670000,4.0580000,4.3120000,4.2340000,5.4115900,5.0618000
HD 156279 b,1.120,9.43200,8.430000,0.647000,,,G6,36.1945000,8.8800000,8.0700000,6.6770000,6.3460000,6.2690000,6.2450000,6.2520000,6.2840000,6.2290000,7.8656900,7.3759000
HD 156279 c,1.110,9.75000,8.720000,0.261000,,74.699,G6,36.1945000,8.8800000,8.0700000,6.6770000,6.3460000,6.2690000,6.2450000,6.2520000,6.2840000,6.2290000,7.8656900,7.3759000
HD 156411 b,1.250,0.74000,0.471000,0.220000,,,F8 IV/V,56.8655000,7.2740000,6.6700000,5.5630000,5.2410000,5.1700000,5.2020000,5.0260000,5.3180000,5.1500000,6.5121000,6.0976000
HD 156668 b,0.167,0.01300,3.490000,0.000000,,,K2,24.3323000,9.3170000,8.4300000,6.5930000,6.1170000,6.0040000,5.9850000,5.9750000,6.0150000,5.9620000,8.1075300,7.4911000
HD 156668 c,0.550,0.09910,0.737000,0.089000,,,K2,24.3323000,9.3170000,8.4300000,6.5930000,6.1170000,6.0040000,5.9850000,5.9750000,6.0150000,5.9620000,8.1075300,7.4911000
HD 156846 b,1.110,10.67000,9.770000,0.850000,,,G0 V,47.7332000,7.0800000,6.5000000,5.4700000,5.2670000,5.1490000,5.0730000,4.9260000,5.1230000,5.0550000,6.3623000,5.9712000
HD 158038 b,1.210,1.53000,1.090000,0.290000,,,K0,94.8625000,8.5160000,7.4700000,5.7580000,5.2580000,5.1560000,5.1510000,5.0380000,5.1470000,5.0930000,7.2068000,6.6166000
HD 158259 b,0.115,0.00698,6.120000,,1482,,G0,27.0498000,7.0730000,6.4791500,5.2690000,5.0260000,4.9650000,4.9980000,4.8280000,5.0000000,4.9500000,6.3069400,5.8961000
HD 158259 c,0.199,0.01762,2.770000,,,,G0,27.0498000,7.0730000,6.4791500,5.2690000,5.0260000,4.9650000,4.9980000,4.8280000,5.0000000,4.9500000,6.3069400,5.8961000
HD 158259 d,0.195,0.01702,2.870000,,,,G0,27.0498000,7.0730000,6.4791500,5.2690000,5.0260000,4.9650000,4.9980000,4.8280000,5.0000000,4.9500000,6.3069400,5.8961000
HD 158259 e,0.209,0.01913,2.610000,,,,G0,27.0498000,7.0730000,6.4791500,5.2690000,5.0260000,4.9650000,4.9980000,4.8280000,5.0000000,4.9500000,6.3069400,5.8961000
HD 158259 f,0.210,0.01932,2.600000,,,,G0,27.0498000,7.0730000,6.4791500,5.2690000,5.0260000,4.9650000,4.9980000,4.8280000,5.0000000,4.9500000,6.3069400,5.8961000
HD 158996 b,1.100,14.00000,13.100000,0.130000,,,K5 III,283.6590000,7.2190000,5.7229100,3.1120000,2.3640000,2.1330000,0.6950000,0.8170000,2.2920000,2.1500000,5.1860900,4.3851200
HD 15906 b,0.200,0.01780,2.760000,0.110000,668,87.980,K V,45.5621000,10.7290000,9.7800000,8.0350000,7.5570000,7.4590000,7.3450000,7.4590000,7.4180000,7.3410000,9.4772800,8.8723000
HD 15906 c,0.261,0.02800,1.950000,0.040000,532,88.750,K V,45.5621000,10.7290000,9.7800000,8.0350000,7.5570000,7.4590000,7.3450000,7.4590000,7.4180000,7.3410000,9.4772800,8.8723000
HD 159243 b,1.220,1.13000,0.767000,0.020000,,,G0 V,73.3055000,9.1910000,8.6500000,7.5810000,7.3510000,7.2970000,7.2530000,7.2980000,7.2990000,7.1510000,8.5118800,8.1282000
HD 159243 c,1.200,1.90000,1.380000,0.075000,,,G0 V,73.3055000,9.1910000,8.6500000,7.5810000,7.3510000,7.2970000,7.2530000,7.2980000,7.2990000,7.1510000,8.5118800,8.1282000
HD 159868 b,1.190,2.21800,1.650000,0.024000,,,G5 V,55.8503000,7.9270000,7.2400000,5.9410000,5.5670000,5.5350000,5.4920000,5.3460000,5.5220000,5.4730000,7.0457900,6.5739000
HD 159868 c,1.250,0.76800,0.489000,0.184000,,,G5 V,55.8503000,7.9270000,7.2400000,5.9410000,5.5670000,5.5350000,5.4920000,5.3460000,5.5220000,5.4730000,7.0457900,6.5739000
HD 1605 b,1.230,0.93400,0.621000,0.095000,,,K1 IV,88.8047000,8.5460000,7.5200000,5.8500000,5.3750000,5.2720000,5.2010000,5.0670000,5.1510000,5.1920000,7.2568800,6.6755000
HD 1605 c,1.160,3.62000,2.880000,0.099000,,,K1 IV,88.8047000,8.5460000,7.5200000,5.8500000,5.3750000,5.2720000,5.2010000,5.0670000,5.1510000,5.1920000,7.2568800,6.6755000
HD 160691 b,,4.30000,,0.128000,,60.000,G3 IV-V,15.5981000,5.8080000,5.1200000,4.1580000,3.7240000,3.6830000,3.5920000,3.2720000,3.5790000,3.5680000,4.9491600,4.5071000
HD 160691 c,,4.40000,,0.098500,,60.000,G3 IV-V,15.5981000,5.8080000,5.1200000,4.1580000,3.7240000,3.6830000,3.5920000,3.2720000,3.5790000,3.5680000,4.9491600,4.5071000
HD 160691 d,0.283,0.03200,1.750000,0.000000,900,,G3 IV-V,15.5981000,5.8080000,5.1200000,4.1580000,3.7240000,3.6830000,3.5920000,3.2720000,3.5790000,3.5680000,4.9491600,4.5071000
HD 160691 e,,7.00000,,0.066600,,60.000,G3 IV-V,15.5981000,5.8080000,5.1200000,4.1580000,3.7240000,3.6830000,3.5920000,3.2720000,3.5790000,3.5680000,4.9491600,4.5071000
HD 161178 b,1.260,0.57000,0.355000,0.044000,,,G9 III,107.1880000,6.8860000,5.8837500,4.3010000,3.7660000,3.6570000,3.5230000,3.2510000,3.4710000,3.4400000,5.5995800,5.0065800
HD 16141 b,0.971,0.26000,0.351000,0.250000,,,G5 IV,37.7861000,7.5040000,6.8340000,5.6790000,5.3460000,5.2660000,5.2170000,5.0050000,5.2630000,5.2180000,6.6577300,6.2243000
HD 16175 b,1.140,5.90000,4.910000,0.600000,,59.000,G2,59.8590000,7.9260000,7.2970000,6.1660000,5.9220000,5.8530000,5.8960000,5.7780000,5.8800000,5.8130000,7.1291000,6.7165000
HD 162020 b,1.110,9.84000,8.800000,0.280000,650,,K3 V,30.8248000,10.1050000,9.1000000,7.1750000,6.6490000,6.5390000,6.4700000,6.4520000,6.4730000,6.5020000,8.7594900,8.1181000
HD 163607 b,1.240,0.78360,0.510000,0.744100,,,G5,67.7855000,8.7620000,8.0000000,6.6480000,6.3420000,6.2710000,6.2240000,6.2100000,6.2550000,6.2190000,7.8129800,7.3311000
HD 163607 c,1.190,2.20100,1.630000,0.080000,,,G5,67.7855000,8.7620000,8.0000000,6.6480000,6.3420000,6.2710000,6.2240000,6.2100000,6.2550000,6.2190000,7.8129800,7.3311000
HD 16417 b,0.446,0.06960,0.972000,0.200000,,,G1 V,25.3936000,6.4230000,5.7800000,4.5960000,4.1850000,4.2460000,4.1000000,3.8680000,4.2580000,4.2040000,5.6131900,5.1820000
HD 164509 b,1.280,0.44300,0.265000,0.238000,,,G5,53.1119000,8.6990000,8.1000000,6.9380000,6.6650000,6.5860000,6.5940000,6.5450000,6.5820000,6.5930000,7.9559400,7.5360000
HD 164595 b,0.371,0.05078,1.230000,0.088000,,,G2 V,28.2540000,7.7750000,7.0859700,5.8640000,5.5390000,5.4820000,5.4960000,5.3750000,5.5100000,5.4850000,6.8947200,6.4618000
HD 164604 b,1.190,1.99792,1.450000,0.350000,,,K3.5 V,39.3633000,10.8770000,9.6200000,7.7840000,7.3060000,7.1690000,7.1020000,7.1940000,7.2030000,7.0910000,9.3278600,8.6834000
HD 164922 b,1.190,0.36497,0.271000,0.080000,159,,G9 V,22.0016000,7.8100000,7.0122700,5.5530000,5.2030000,5.1130000,5.1180000,5.0180000,5.1640000,5.1080000,6.7861400,6.2808000
HD 164922 c,0.327,0.04090,1.460000,0.120000,400,,G9 V,22.0016000,7.8100000,7.0122700,5.5530000,5.2030000,5.1130000,5.1180000,5.0180000,5.1640000,5.1080000,6.7861400,6.2808000
HD 164922 d,0.163,0.01259,3.590000,0.120000,,,G9 V,22.0016000,7.8100000,7.0122700,5.5530000,5.2030000,5.1130000,5.1180000,5.0180000,5.1640000,5.1080000,6.7861400,6.2808000
HD 164922 e,0.288,0.03310,1.720000,0.086000,,,G9 V,22.0016000,7.8100000,7.0122700,5.5530000,5.2030000,5.1130000,5.1180000,5.0180000,5.1640000,5.1080000,6.7861400,6.2808000
HD 165131 b,1.080,18.70000,18.400000,0.670800,,70.000,G3/5 V,57.4263000,9.0740000,8.4200000,7.2550000,6.9610000,6.9270000,6.6430000,6.8780000,7.1920000,6.5550000,8.2613400,7.8355000
HD 165155 b,1.180,2.89000,2.190000,0.200000,,,G8 V,63.3574000,10.1970000,9.3600000,8.0270000,7.6900000,7.5840000,7.5240000,7.5970000,7.6210000,7.9360000,9.2141300,8.7177000
HD 1666 b,1.130,6.43000,5.470000,0.630000,,,F7 V,117.9080000,8.6490000,8.1700000,7.2690000,7.0630000,6.9640000,6.8820000,6.9320000,6.9890000,6.9170000,8.0512100,7.7031200
HD 166724 b,1.160,3.80000,3.020000,0.734000,,68.000,K0 IV-V,45.1342000,10.1400000,9.3300000,7.7520000,7.4140000,7.2460000,7.1860000,7.2560000,7.2460000,7.2150000,9.0686300,8.5228000
HD 167042 b,1.210,1.39700,0.970000,0.010000,,,K1 IV,49.6633000,6.9260000,5.9879600,3.9330000,3.5570000,3.5500000,3.7720000,3.4900000,3.7480000,3.7020000,5.7238400,5.1576000
HD 167677 b,1.180,2.85000,2.160000,0.182000,,28.700,G5 V,54.3258000,9.6110000,8.9000000,7.5830000,7.2980000,7.1550000,7.0970000,7.1710000,7.2790000,8.0070000,8.7114000,8.2424000
HD 167768 b,1.240,0.85000,0.553000,0.149000,,,G8 III,107.2140000,6.8860000,5.9889400,4.4710000,3.8370000,3.8950000,,,,,5.7545000,5.1903500
HD 168009 b,0.272,0.03000,1.850000,0.120000,,,G2V,23.3032000,6.9300000,6.2950000,5.1200000,4.8360000,4.7560000,4.7920000,4.5990000,4.7950000,4.7420000,6.1405200,5.7155000
HD 168443 b,1.130,7.62800,6.660000,0.530000,,,G5,39.6245000,7.6520000,6.9212200,5.6410000,5.3250000,5.2110000,5.1530000,5.0750000,5.2300000,5.1690000,6.7316600,6.2674000
HD 168443 c,1.090,17.30600,16.600000,0.210000,,91.218,G5,39.6245000,7.6520000,6.9212200,5.6410000,5.3250000,5.2110000,5.1530000,5.0750000,5.2300000,5.1690000,6.7316600,6.2674000
HD 168746 b,0.993,0.27000,0.345000,0.110000,900,,G5,41.5681000,8.6640000,7.9500000,6.6790000,6.3290000,6.2530000,5.7660000,6.2130000,6.2560000,5.6320000,7.7716900,7.3158000
HD 168863 b,1.130,6.78000,5.780000,0.187000,,129.839,,39.8979000,10.3650000,9.3500000,7.5980000,7.1470000,7.0400000,6.8510000,6.9810000,7.0260000,7.0340000,9.0682100,8.4597000
HD 1690 b,1.120,8.79000,7.860000,0.640000,,,K1 III,752.6150000,10.4920000,9.1900000,6.8770000,6.2290000,6.0180000,5.9120000,5.9200000,6.0020000,5.8750000,8.7494300,8.0115000
HD 16905 b,1.110,11.30000,10.400000,0.680000,,43.000,K3 V,39.7401000,10.3700000,9.4400000,7.6500000,7.1960000,7.0860000,6.9010000,7.0660000,7.0190000,6.9550000,9.1132400,8.4981000
HD 169142 b,1.170,3.00000,2.330000,,,13.000,,113.6000000,8.4230000,8.1560000,7.3100000,6.9110000,6.4100000,6.2030000,5.6500000,2.6970000,-0.6320000,8.0544900,7.8363700
HD 169830 b,1.180,2.53100,1.920000,0.294000,345,,F8 V,37.6048000,6.4070000,5.9000000,4.9740000,4.7780000,4.6880000,4.6480000,4.4370000,4.6320000,4.6440000,5.7764100,5.4149000
HD 169830 c,1.130,7.66900,6.700000,0.246000,,24.469,F7 V,37.6048000,6.4070000,5.9000000,4.9740000,4.7780000,4.6880000,4.6480000,4.4370000,4.6320000,4.6440000,5.7764100,5.4149000
HD 170469 b,1.250,0.66000,0.411000,0.110000,,,G5 IV,60.1780000,8.8330000,8.2100000,7.0470000,6.7790000,6.7070000,6.6750000,6.6800000,6.6960000,6.5540000,8.0495300,7.6151000
HD 17092 b,1.110,10.13000,9.060000,0.170000,,,K0 III,228.4220000,8.9990000,7.7320000,5.5300000,5.0070000,4.8070000,4.7820000,4.7020000,4.7800000,4.7210000,7.3399300,6.6329200
HD 171028 b,1.180,2.62000,1.990000,0.590000,,,G0,111.6590000,8.9340000,8.2920000,6.9900000,6.6630000,6.6040000,6.5500000,6.4870000,6.5340000,6.4760000,8.1023300,7.6492500
HD 171238 b,1.120,8.80000,7.870000,0.234000,,19.100,G8 V,44.8113000,9.4100000,8.6100000,7.2440000,6.8680000,6.8310000,6.7810000,6.8350000,6.8310000,6.6180000,8.4109900,7.9202000
HD 17156 b,1.100,3.51000,3.780000,0.680000,883,87.820,G5,78.0863000,8.7800000,8.1700000,7.0800000,6.8570000,6.7630000,6.7960000,6.7780000,6.7940000,6.6800000,8.0329800,7.6353000
HD 173416 b,1.200,1.84100,1.340000,0.208000,,,G8,132.1840000,7.0940000,6.0418800,4.5800000,3.9290000,3.8140000,3.6120000,3.2960000,3.6400000,3.5240000,5.7568100,5.1442200
HD 174205 b,1.160,4.20000,3.340000,0.400000,,,K2,234.0270000,7.5120000,6.2820900,4.5850000,3.7180000,3.5740000,3.3490000,3.1250000,3.3130000,3.2570000,5.8976500,5.1979000
HD 175167 b,1.130,6.41100,5.470000,0.528000,,94.637,G5 IV/V,71.0863000,8.7310000,8.0100000,6.7130000,6.3810000,6.2880000,6.3110000,6.2400000,6.2980000,6.2740000,7.8242400,7.3506000
HD 175541 b,1.260,0.59800,0.373000,0.110000,,,G8 IV,129.6030000,8.8350000,8.0200010,6.3870000,5.9520000,5.8290000,5.7100000,5.6120000,5.8430000,5.8980000,7.7592700,7.1997600
HD 175607 b,0.263,0.02825,1.940000,0.110000,,,G6 V,40.3303000,9.2220000,8.6000000,7.2800000,6.9280000,6.8810000,6.8010000,6.8100000,6.8190000,6.6780000,8.4095700,7.9396000
HD 17674 b,1.240,0.87000,0.566000,0.130000,,,G0 V,44.4264000,8.1290000,7.5350000,6.4490000,6.1660000,6.0930000,6.1230000,6.0370000,6.1130000,6.0080000,7.4011300,6.9964000
HD 176986 b,0.202,0.01806,2.730000,0.066000,,,K2.5 V,27.7843000,9.3160000,8.4200000,6.7970000,6.3400000,6.2200000,,,,,8.1424900,7.5672000
HD 176986 c,0.266,0.02888,1.910000,0.111000,,,K2.5 V,27.7843000,9.3160000,8.4200000,6.7970000,6.3400000,6.2200000,,,,,8.1424900,7.5672000
HD 177565 b,0.357,0.04751,1.300000,0.059300,,,G8V,16.9179000,6.8560000,6.1500000,5.2560000,4.7420000,4.5390000,4.5230000,4.2860000,4.5440000,4.5350000,5.9739000,5.5252000
HD 177830 b,1.200,1.69000,1.200000,0.100000,,,K0,62.7674000,8.2680000,7.1800000,5.3670000,4.9540000,4.8090000,4.7850000,4.6490000,4.7840000,4.7320000,6.8866000,6.2779000
HD 177830 c,0.702,0.15000,0.537000,0.300000,,,K0,62.7674000,8.2680000,7.1800000,5.3670000,4.9540000,4.8090000,4.7850000,4.6490000,4.7840000,4.7320000,6.8866000,6.2779000
HD 178911 B b,1.120,8.03000,7.010000,0.110000,,,G5,40.9727000,8.5460000,7.9700000,6.7490000,6.4580000,6.3750000,5.9780000,6.2240000,6.3010000,5.9750000,7.8670500,7.3982000
HD 179079 b,0.488,0.08100,0.860000,0.049000,,,G5 IV,69.7116000,8.5970000,7.9500000,6.7340000,6.4020000,6.3110000,6.3010000,6.2700000,6.3400000,6.3110000,7.7745400,7.3186000
HD 179949 b,1.240,0.91600,0.596000,0.022000,,,F8 V,27.4573000,6.7720000,6.2500000,5.2960000,5.1010000,4.9360000,4.9400000,4.8010000,4.9760000,4.9300000,6.1106000,5.7365000
HD 180053 b,1.190,2.19400,1.630000,0.081000,,,K0,137.0430000,8.8470000,7.9300000,6.3280000,5.9640000,5.8400000,5.8700000,5.7930000,5.8480000,5.7740000,7.7032700,7.1564700
HD 18015 b,1.170,3.30000,2.560000,0.148000,,69.000,G6 IV,123.8010000,8.5530010,7.8900000,6.6280000,6.3360000,6.2040000,6.0730000,6.0800000,6.1490000,6.1180000,7.7219400,7.2672200
HD 180314 b,1.070,22.70700,22.900000,0.247000,,,K0,122.3620000,7.6270000,6.6151900,4.8920000,4.4890000,4.3120000,4.3270000,4.1680000,4.3000000,4.2680000,6.3458300,5.7592100
HD 180617 b,0.315,0.03843,1.530000,0.101000,,,M2.5 V,5.9105900,10.5760000,9.1200000,5.5830000,4.9290000,4.6730000,,,,,8.0976000,6.9425300
HD 180902 b,1.200,1.68500,1.200000,0.107000,,,K0 III/IV,104.5770000,8.6770000,7.7800000,6.1210000,5.6700000,5.5430000,5.5270000,5.4720000,5.5450000,5.4850000,7.5213200,6.9511100
HD 181234 b,1.120,9.37900,8.390000,0.726000,,98.732,G8 IV,47.7458000,9.3440000,8.5900000,7.1520000,6.8710000,6.6890000,,,,,8.3692600,7.8552000
HD 181342 b,1.180,2.54000,1.930000,0.022000,,,K0 III,120.3910000,8.5660000,7.5500000,5.8530000,5.3700000,5.2510000,5.2440000,5.1000000,5.2550000,5.1530000,7.2840500,6.6973400
HD 18143 b,0.293,0.03400,1.680000,0.224000,,,K2,22.5243000,8.4710000,7.5180000,5.9500000,5.5480000,5.4270000,,,,,7.3320900,6.7799000
HD 18143 c,1.110,9.99800,8.940000,0.194000,,35.980,K2,22.5243000,8.4710000,7.5180000,5.9500000,5.5480000,5.4270000,,,,,7.3320900,6.7799000
HD 181433 b,0.214,0.02000,2.530000,0.400000,,,K3 IV,26.8762000,9.4200000,8.4000000,6.6640000,6.2430000,6.0940000,6.0920000,6.0570000,6.0920000,6.0010000,8.0922800,7.4903000
HD 181433 c,1.260,0.64000,0.398000,0.280000,,,K3 IV,26.8762000,9.4200000,8.4000000,6.6640000,6.2430000,6.0940000,6.0920000,6.0570000,6.0920000,6.0010000,8.0922800,7.4903000
HD 181433 d,1.270,0.54000,0.328000,0.480000,,,K3 IV,26.8762000,9.4200000,8.4000000,6.6640000,6.2430000,6.0940000,6.0920000,6.0570000,6.0920000,6.0010000,8.0922800,7.4903000
HD 181720 b,1.250,0.40000,0.255000,0.260000,,,G1 V,60.2046000,8.3910000,7.8400000,6.6520000,6.3460000,6.2940000,6.2680000,6.2110000,6.2910000,6.2010000,7.6748400,7.2562000
HD 183263 b,1.170,3.47100,2.700000,0.383000,,,G2 IV,54.1955000,8.4560000,7.8600000,6.7820000,6.5280000,6.4220000,6.3720000,6.3650000,6.4470000,6.3270000,7.7181800,7.3033000
HD 183263 c,1.120,9.31000,8.320000,0.051000,,73.718,G2 IV,54.1955000,8.4560000,7.8600000,6.7820000,6.5280000,6.4220000,6.3720000,6.3650000,6.4470000,6.3270000,7.7181800,7.3033000
HD 183579 b,0.317,0.06198,2.390000,0.280000,769,89.330,G2 V,57.2651000,9.3340000,8.6700000,7.5180000,7.2310000,7.1500000,7.0900000,7.1370000,7.1380000,7.0400000,8.5154900,8.0888000
HD 184010 b,1.080,0.31000,0.306000,0.000000,,,K0 III-IV,60.7993000,6.8090000,5.8863900,4.5810000,4.0770000,3.9800000,3.7080000,3.3110000,3.6870000,3.6540000,5.6450800,5.0857000
HD 184010 c,1.060,0.30000,0.319000,0.000000,,,K0 III-IV,60.7993000,6.8090000,5.8863900,4.5810000,4.0770000,3.9800000,3.7080000,3.3110000,3.6870000,3.6540000,5.6450800,5.0857000
HD 184010 d,1.280,0.45000,0.269000,0.000000,,,K0 III-IV,60.7993000,6.8090000,5.8863900,4.5810000,4.0770000,3.9800000,3.7080000,3.3110000,3.6870000,3.6540000,5.6450800,5.0857000
HD 18438 b,1.080,21.00000,20.700000,0.100000,,,M2.5 III,224.1460000,7.1440000,5.5047400,2.4700000,1.6060000,1.3250000,-1.2210000,-0.5020000,1.2120000,1.1140000,4.7319900,3.7766500
HD 185269 b,1.230,1.01000,0.671000,0.229000,,,G0 IV,51.9917000,7.2670000,6.6797300,5.5180000,5.4000000,5.2600000,5.1330000,5.0440000,5.2500000,5.1750000,6.5183100,6.1200000
HD 185283 b,1.220,1.30000,0.903000,0.070000,,91.000,K3 V,31.3950000,10.1350000,9.0300000,7.2120000,6.7640000,6.6010000,6.5870000,6.6110000,6.5970000,6.5230000,8.7131100,8.0946000
HD 18599 b,0.232,0.07583,7.500000,0.340000,863,87.600,K2 V,38.5653000,9.8720000,8.9900000,7.4280000,7.0290000,6.8830000,6.8120000,6.8820000,6.8740000,6.8490000,8.7311700,8.1796000
HD 187085 b,1.240,0.83600,0.544000,0.251000,,,G0 V,45.8993000,7.6740000,7.2200000,6.1900000,5.9510000,5.8760000,5.8880000,5.7550000,5.8860000,5.8480000,7.0750800,6.6894000
HD 187123 b,1.270,0.52300,0.319000,0.010300,,,G3 V,45.9548000,8.4890000,7.8300000,6.6350000,6.3950000,6.3370000,6.3120000,6.2450000,6.3310000,6.2360000,7.6728400,7.2466000
HD 187123 c,1.190,1.99000,1.440000,0.252000,,,G3 V,45.9548000,8.4890000,7.8300000,6.6350000,6.3950000,6.3370000,6.3120000,6.2450000,6.3310000,6.2360000,7.6728400,7.2466000
HD 18742 b,1.170,3.40000,2.640000,0.040000,,,G8/K0 IV,162.6850000,8.6270000,7.8100000,6.1770000,5.7050000,5.5540000,5.5950000,5.4680000,5.5430000,5.4800000,7.5546400,6.9863600
HD 188015 b,1.210,1.50000,1.040000,0.137000,,,G5 IV,50.6706000,8.9540010,8.2400000,7.0080000,6.7160000,6.6320000,6.5330000,6.6130000,6.6450000,6.6880000,8.0658800,7.6166000
HD 188641 b,1.060,29.36500,30.400000,0.034000,,49.245,,64.3399000,7.9060000,7.3400000,6.1610000,5.8780000,5.8000000,5.8490000,5.6680000,5.7910000,5.7630000,7.1776100,6.7494000
HD 189567 b,0.254,0.02674,2.020000,0.189000,,,G3 V,17.9055000,6.7070000,6.0740000,5.1080000,4.7240000,4.5110000,,,,,5.9098000,5.4781000
HD 189567 c,0.227,0.02202,2.350000,0.160000,,,G3 V,17.9055000,6.7070000,6.0740000,5.1080000,4.7240000,4.5110000,,,,,5.9098000,5.4781000
HD 189733 b,1.130,1.13000,0.943000,0.000000,1209,85.710,K2 V,19.7638000,8.6070000,7.6700000,6.0730000,5.5870000,5.5410000,5.2890000,5.3420000,5.4590000,5.4270000,7.4143200,6.8481000
HD 190007 b,0.362,0.04877,1.270000,0.136000,,,K4 V,12.7141000,8.5420000,7.4600000,5.4760000,4.9560000,4.7960000,4.7530000,4.6090000,4.7840000,4.7220000,7.0634100,6.3882000
HD 190228 b,1.150,5.03000,4.090000,0.559000,,94.987,G5 IV,62.7146000,8.0950000,7.3000000,5.8190000,5.4410000,5.3520000,5.4390000,5.1710000,5.3180000,5.3020000,7.0848200,6.5757000
HD 190360 b,1.200,1.80000,1.310000,0.340000,150,80.200,G V,16.0069000,6.4720000,5.7380000,4.5540000,4.2390000,4.0760000,4.0070000,3.7060000,4.0490000,4.0500000,5.5543600,5.0823000
HD 190360 c,0.409,0.06000,1.080000,0.237000,,,G6 IV,16.0069000,6.4720000,5.7380000,4.5540000,4.2390000,4.0760000,4.0070000,3.7060000,4.0490000,4.0500000,5.5543600,5.0823000
HD 190647 b,1.190,1.98500,1.440000,0.224000,,,G5 V,54.4738000,8.5390000,7.7800000,6.5460000,6.2510000,6.1610000,6.1440000,6.0520000,6.1390000,6.0840000,7.5942000,7.1278000
HD 190984 b,1.160,3.58000,2.850000,0.570000,,64.000,F8 V,148.1870000,9.3150000,8.7600000,7.6710000,7.3890000,7.3190000,7.2510000,7.2920000,7.2940000,7.4590000,8.6112600,8.2184000
HD 191806 b,1.120,9.33400,8.350000,0.213000,,66.519,K0,65.6668000,8.7150000,8.0900000,6.9660000,6.7130000,6.6390000,6.6240000,6.6300000,6.6530000,6.6160000,7.9333900,7.5211000
HD 191939 b,0.304,0.03146,1.400000,0.031000,880,88.100,G9 V,53.6089000,9.7200000,8.9700000,7.5970000,7.2150000,7.1800000,7.0400000,7.1780000,7.1780000,7.0990000,8.7747600,8.2929000
HD 191939 c,0.285,0.02517,1.350000,0.034000,600,89.100,G9 V,53.6089000,9.7200000,8.9700000,7.5970000,7.2150000,7.1800000,7.0400000,7.1780000,7.1780000,7.0990000,8.7747600,8.2929000
